t_s,fps,frame_ms_ema,fixed_ticks,meshed,dirty,visible_unready,rss_mb,cam_x,cam_y,cam_z,focus_x,focus_y,focus_z
1.58,20.57,48.61,31,1016,0,674,494.2,87.9,67.8,51.0,58.5,38.0,8.0
2.65,240.31,4.16,52,1016,0,674,494.2,70.6,49.9,24.9,58.5,38.0,8.0
3.65,240.69,4.15,72,1016,0,674,494.2,71.6,49.9,24.2,58.5,38.0,8.0
4.65,240.19,4.16,92,1016,0,674,494.2,72.8,49.9,23.1,58.5,38.0,8.0
5.65,242.66,4.12,113,1016,0,674,494.2,74.2,49.9,21.7,58.5,38.0,8.0
6.65,238.81,4.19,133,1016,0,674,509.2,75.4,49.9,20.2,58.5,38.0,8.0
7.67,240.66,4.16,153,1016,0,674,509.2,76.3,49.9,18.8,58.5,38.0,8.0
8.67,241.00,4.15,173,1016,0,674,509.2,76.9,49.9,17.8,58.5,38.0,8.0
9.67,240.79,4.15,193,1016,0,674,509.2,70.3,49.9,25.2,58.5,38.0,8.0
10.67,241.26,4.14,213,1016,0,674,509.2,70.3,76.4,25.2,58.5,64.5,8.0
11.68,253.26,3.95,233,1016,0,674,509.2,70.3,92.4,25.2,58.5,80.5,8.0
12.68,241.58,4.14,253,1016,0,674,509.2,70.3,91.9,25.2,58.5,80.0,8.0
13.68,241.29,4.14,273,1016,0,674,509.2,70.3,75.2,25.2,58.5,63.2,8.0
14.68,241.08,4.15,293,1016,0,674,509.2,70.3,50.3,25.2,58.5,38.4,8.0
15.68,242.01,4.13,313,1016,0,669,509.2,70.4,77.5,24.6,54.1,63.8,8.0
16.68,293.19,3.41,333,1016,0,641,509.2,71.2,96.0,19.9,44.0,77.7,8.7
17.69,241.26,4.14,353,1016,0,623,509.2,68.5,98.9,7.4,32.1,74.7,10.5
18.69,241.01,4.15,373,1016,0,588,509.2,60.0,85.5,-7.3,22.4,55.9,11.9
19.69,241.28,4.14,393,1016,0,674,509.2,79.2,59.5,38.3,58.5,38.5,8.0
20.69,240.33,4.16,413,1016,0,794,509.2,96.7,91.6,47.2,79.8,74.2,24.2
21.69,285.82,3.50,433,1016,0,965,509.2,158.2,144.0,99.6,127.8,111.0,64.2
22.70,240.01,4.17,453,1016,0,968,509.2,231.5,180.5,157.1,184.3,126.0,111.2
23.70,240.91,4.15,473,1016,0,736,509.2,291.8,201.0,201.2,230.8,126.0,149.8
24.70,241.25,4.15,493,1016,0,674,509.2,93.7,74.4,59.3,58.5,38.8,8.0
25.70,241.33,4.14,513,1016,0,707,509.2,90.2,83.0,24.1,66.0,64.2,8.0
26.70,307.55,3.25,534,1016,0,730,509.3,127.6,117.1,-4.7,82.7,78.2,8.0
27.70,241.70,4.14,554,1016,0,742,509.3,119.7,143.7,-51.1,102.2,75.2,8.0
28.71,240.84,4.15,574,1016,0,739,509.3,115.3,69.3,3.3,118.3,61.0,8.3
29.71,242.94,4.12,594,1016,0,674,509.3,66.2,46.9,19.3,58.5,39.1,8.0
30.71,238.50,4.19,614,1016,0,669,509.3,72.0,77.5,23.4,55.9,65.3,8.0
31.71,295.42,3.39,634,1016,0,660,509.3,74.8,93.8,15.8,50.0,81.2,8.0
32.72,240.38,4.16,654,1016,0,631,509.3,72.8,93.2,1.1,43.2,80.4,8.0
33.72,242.63,4.12,674,1016,0,621,509.3,64.5,76.0,-13.1,37.6,63.3,8.0
34.73,239.93,4.17,694,1016,0,674,509.3,72.7,53.9,28.7,58.5,39.5,8.0
35.73,241.71,4.14,714,1016,0,669,509.3,67.7,76.8,23.5,55.4,64.8,8.0
36.73,280.29,3.57,734,1016,0,657,509.3,61.5,90.3,19.9,48.6,78.5,8.0
37.73,242.70,4.12,754,1016,0,621,509.3,53.3,86.6,16.0,40.7,75.2,8.0
38.73,244.48,4.09,774,1016,0,613,509.3,46.1,67.0,13.3,34.4,56.1,8.0
39.74,241.59,4.14,794,1016,0,674,509.3,70.3,49.4,25.2,58.5,37.5,8.0
40.74,239.95,4.17,814,1016,0,689,509.3,61.4,34.9,9.2,60.7,34.1,8.0
41.74,283.64,3.53,834,1016,0,704,509.3,65.8,27.5,9.3,65.3,26.9,8.0
42.74,235.82,4.24,854,1016,1728,716,509.3,71.0,19.3,10.4,70.6,18.7,8.5
43.75,238.42,4.19,874,1016,0,720,509.3,75.1,12.5,11.6,74.9,11.9,9.2
44.75,240.89,4.15,894,1016,0,674,509.3,70.3,50.0,25.2,58.6,38.0,8.0
45.75,243.78,4.10,915,1016,0,767,509.3,82.0,65.0,47.2,67.1,44.2,21.5
46.75,263.97,3.79,935,1016,0,911,510.4,101.3,104.3,94.6,85.0,58.4,52.9
47.75,242.95,4.12,955,1016,0,1007,510.4,115.5,156.9,139.1,105.6,74.6,88.9
48.77,205.24,4.87,975,1016,1664,1032,510.4,124.4,202.7,164.0,122.1,87.5,117.6
49.77,257.20,3.89,995,1016,0,1032,510.4,128.0,221.6,170.5,128.0,93.5,127.9
50.78,240.75,4.15,1015,1016,0,1032,510.4,127.2,224.1,167.1,124.3,102.1,121.5
51.78,257.22,3.89,1035,1016,0,1028,532.2,126.4,212.2,156.5,115.9,105.1,106.8
52.78,240.88,4.15,1055,1016,0,1007,532.2,125.9,189.2,136.6,104.4,102.4,86.8
53.78,252.74,3.96,1075,1016,0,963,532.2,122.9,159.0,107.3,91.5,94.2,64.3
54.79,237.37,4.21,1095,1016,0,861,532.2,114.6,126.4,73.5,78.8,81.5,41.9
55.76,61.01,16.39,1115,1016,0,775,532.2,102.2,96.5,43.7,68.2,66.5,23.4
